date,year,feature,horizon,label,family,expected_sign,spearman_ic,pearson_ic,candidate_rows,valid_feature_rows,valid_label_rows,valid_paired_rows,paired_coverage
2024-04-01,2024,microprice_deviation_bps,100ms,ret_fwd_100ms,state,positive,0.299576519315,0.0920148879356,863952,863939,863936,863936,0.999981480453
2024-04-01,2024,ofi_100ms,100ms,ret_fwd_100ms,matched_flow,positive,0.258346310434,0.197954943469,863952,863952,863936,863936,0.999981480453
2024-04-01,2024,qi_1,100ms,ret_fwd_100ms,state,positive,0.294969809591,0.186195721908,863952,863939,863936,863936,0.999981480453
2024-04-01,2024,trade_imbalance_100ms,100ms,ret_fwd_100ms,matched_flow,positive,0.232199748598,0.206399093099,863952,360750,863936,360742,0.417548660111
2024-04-01,2024,di_10,1s,ret_fwd_1s,state,positive,0.43822969919,0.282465433793,863952,863939,863918,863918,0.999960645962
2024-04-01,2024,di_5,1s,ret_fwd_1s,state,positive,0.447258334021,0.286896501572,863952,863939,863918,863918,0.999960645962
2024-04-01,2024,microprice_deviation_bps,1s,ret_fwd_1s,state,positive,0.448005878659,0.0520283029572,863952,863939,863918,863918,0.999960645962
2024-04-01,2024,ofi_1s,1s,ret_fwd_1s,matched_flow,positive,0.356723658489,0.236720024758,863952,863952,863918,863918,0.999960645962
2024-04-01,2024,qi_1,1s,ret_fwd_1s,state,positive,0.448297921437,0.282636773954,863952,863939,863918,863918,0.999960645962
2024-04-01,2024,trade_imbalance_1s,1s,ret_fwd_1s,matched_flow,positive,0.219257608215,0.162499414684,863952,845096,863918,845068,0.978142304202
2024-04-01,2024,di_10,30s,ret_fwd_30s,state,positive,0.216022841481,0.167231727773,863952,863939,863628,863628,0.999624979166
2024-04-01,2024,di_5,30s,ret_fwd_30s,state,positive,0.218240217877,0.168892643519,863952,863939,863628,863628,0.999624979166
2024-04-01,2024,microprice_deviation_bps,30s,ret_fwd_30s,state,positive,0.216365163698,0.0109502450331,863952,863939,863628,863628,0.999624979166
2024-04-01,2024,ofi_30s,30s,ret_fwd_30s,matched_flow,positive,0.0970175548466,0.0701084494651,863952,863952,863628,863628,0.999624979166
2024-04-01,2024,qi_1,30s,ret_fwd_30s,state,positive,0.218495248417,0.168111575998,863952,863939,863628,863628,0.999624979166
2024-04-01,2024,trade_imbalance_30s,30s,ret_fwd_30s,matched_flow,positive,0.0743805252935,0.0558046647333,863952,863952,863628,863628,0.999624979166
2024-04-01,2024,di_10,500ms,ret_fwd_500ms,state,positive,0.402142473498,0.262213321166,863952,863939,863926,863926,0.999969905736
2024-04-01,2024,di_5,500ms,ret_fwd_500ms,state,positive,0.411920835459,0.266418346483,863952,863939,863926,863926,0.999969905736
2024-04-01,2024,microprice_deviation_bps,500ms,ret_fwd_500ms,state,positive,0.413762289057,0.0653326114551,863952,863939,863926,863926,0.999969905736
2024-04-01,2024,ofi_500ms,500ms,ret_fwd_500ms,matched_flow,positive,0.331793587181,0.234135170848,863952,863952,863926,863926,0.999969905736
2024-04-01,2024,qi_1,500ms,ret_fwd_500ms,state,positive,0.412258699664,0.26086085654,863952,863939,863926,863926,0.999969905736
2024-04-01,2024,trade_imbalance_500ms,500ms,ret_fwd_500ms,matched_flow,positive,0.185833212308,0.159961168005,863952,762861,863926,762843,0.882969192733
2024-04-01,2024,di_10,5s,ret_fwd_5s,state,positive,0.395259073035,0.260226495887,863952,863939,863878,863878,0.999914347093
2024-04-01,2024,di_5,5s,ret_fwd_5s,state,positive,0.399886548138,0.262825338325,863952,863939,863878,863878,0.999914347093
2024-04-01,2024,microprice_deviation_bps,5s,ret_fwd_5s,state,positive,0.397232097899,0.0278913432089,863952,863939,863878,863878,0.999914347093
2024-04-01,2024,ofi_5s,5s,ret_fwd_5s,matched_flow,positive,0.268320931182,0.152789117006,863952,863952,863878,863878,0.999914347093
2024-04-01,2024,qi_1,5s,ret_fwd_5s,state,positive,0.399772426419,0.260568054375,863952,863939,863878,863878,0.999914347093
2024-04-01,2024,trade_imbalance_5s,5s,ret_fwd_5s,matched_flow,positive,0.203675260071,0.125323089013,863952,863952,863878,863878,0.999914347093
2024-05-01,2024,di_10,100ms,ret_fwd_100ms,state,positive,0.336970604128,0.192711971546,863986,863986,863985,863985,0.999998842574
2024-05-01,2024,di_5,100ms,ret_fwd_100ms,state,positive,0.350476174926,0.19983196081,863986,863986,863985,863985,0.999998842574
2024-05-01,2024,microprice_deviation_bps,100ms,ret_fwd_100ms,state,positive,0.363718132708,0.0501500904149,863986,863986,863985,863985,0.999998842574
2024-05-01,2024,ofi_100ms,100ms,ret_fwd_100ms,matched_flow,positive,0.32104261077,0.192738659065,863986,863986,863985,863985,0.999998842574
2024-05-01,2024,qi_1,100ms,ret_fwd_100ms,state,positive,0.361192036693,0.203196588056,863986,863986,863985,863985,0.999998842574
2024-05-01,2024,trade_imbalance_100ms,100ms,ret_fwd_100ms,matched_flow,positive,0.290029785029,0.239661597283,863986,406607,863985,406606,0.470616422025
2024-05-01,2024,di_10,1s,ret_fwd_1s,state,positive,0.37475101685,0.231557664519,863986,863986,863976,863976,0.999988425738
2024-05-01,2024,di_5,1s,ret_fwd_1s,state,positive,0.384216097199,0.237212323897,863986,863986,863976,863976,0.999988425738
2024-05-01,2024,microprice_deviation_bps,1s,ret_fwd_1s,state,positive,0.389235204736,0.00165112054162,863986,863986,863976,863976,0.999988425738
2024-05-01,2024,ofi_1s,1s,ret_fwd_1s,matched_flow,positive,0.291862159295,0.173590294534,863986,863986,863976,863976,0.999988425738
2024-05-01,2024,qi_1,1s,ret_fwd_1s,state,positive,0.389384986931,0.240204886189,863986,863986,863976,863976,0.999988425738
2024-05-01,2024,trade_imbalance_1s,1s,ret_fwd_1s,matched_flow,positive,0.179020164095,0.117777560497,863986,844398,863976,844388,0.977316762077
2024-05-01,2024,di_10,30s,ret_fwd_30s,state,positive,0.120092614532,0.0996927545397,863986,863986,863686,863686,0.999652772151
2024-05-01,2024,di_5,30s,ret_fwd_30s,state,positive,0.121252866445,0.0997996022634,863986,863986,863686,863686,0.999652772151
2024-05-01,2024,microprice_deviation_bps,30s,ret_fwd_30s,state,positive,0.122076166842,0.00541695315766,863986,863986,863686,863686,0.999652772151
2024-05-01,2024,ofi_30s,30s,ret_fwd_30s,matched_flow,positive,0.0373624111157,0.0337270986028,863986,863986,863686,863686,0.999652772151
2024-05-01,2024,qi_1,30s,ret_fwd_30s,state,positive,0.122788156283,0.100753116787,863986,863986,863686,863686,0.999652772151
