date,feature,horizon,bucket,p_up,p_flat,p_down,count,p_up_minus_down
2024-01-01,di_10,500ms,3,0.00394685062154,0.971712308155,0.0243408412232,86398,-0.0203939906016
2024-01-01,di_10,500ms,4,0.00546302619243,0.979351612866,0.0151853609417,86399,-0.00972233474924
2024-01-01,di_10,500ms,5,0.00831037755504,0.980879187018,0.0108104354267,86398,-0.00250005787171
2024-01-01,di_10,500ms,6,0.0126973470994,0.980392610769,0.00691004213158,86396,0.00578730496782
2024-01-01,di_10,500ms,7,0.0173038415686,0.979420581733,0.00327557669826,86397,0.0140282648703
2024-01-01,di_10,500ms,8,0.0248732609551,0.972360471307,0.00276626773768,86398,0.0221069932174
2024-01-01,di_10,500ms,9,0.0429403118092,0.954409194551,0.00265049363997,86399,0.0402898181692
2024-01-01,di_10,500ms,10,0.111345170027,0.886895529989,0.0017592999838,86398,0.109585870043
2024-01-01,di_5,500ms,1,0.00234956423107,0.883401428257,0.114249007512,86399,-0.111899443281
2024-01-01,di_5,500ms,2,0.0031597587935,0.954999479161,0.0418407620459,86399,-0.0386810032524
2024-01-01,di_5,500ms,3,0.00402787101553,0.971851200259,0.0241209287252,86398,-0.0200930577097
2024-01-01,di_5,500ms,4,0.00513894836746,0.980370143173,0.0144909084596,86399,-0.00935196009213
2024-01-01,di_5,500ms,5,0.00868075649899,0.98031204426,0.0110071992407,86398,-0.00232644274173
2024-01-01,di_5,500ms,6,0.0120375943331,0.981087087365,0.00687531830177,86396,0.0051622760313
2024-01-01,di_5,500ms,7,0.0163200111115,0.980439135618,0.00324085327037,86397,0.0130791578411
2024-01-01,di_5,500ms,8,0.0244102872752,0.972858168013,0.00273154471168,86398,0.0216787425635
2024-01-01,di_5,500ms,9,0.0434495769627,0.953598999988,0.00295142304888,86399,0.0404981539138
2024-01-01,di_5,500ms,10,0.112907706197,0.885564480659,0.00152781314382,86398,0.111379893053
2024-01-01,microprice_deviation_bps,500ms,1,0.0041898633086,0.882869014688,0.112941122004,86399,-0.108751258695
2024-01-01,microprice_deviation_bps,500ms,2,0.00299771988102,0.952673063346,0.0443292167733,86399,-0.0413314968923
2024-01-01,microprice_deviation_bps,500ms,3,0.00393527627954,0.974154494317,0.0219102294035,86398,-0.0179749531239
2024-01-01,microprice_deviation_bps,500ms,4,0.00496533524694,0.980601627334,0.0144330374194,86399,-0.00946770217248
2024-01-01,microprice_deviation_bps,500ms,5,0.00797472163707,0.980578254126,0.0114470242367,86398,-0.0034723025996
2024-01-01,microprice_deviation_bps,500ms,6,0.0116093337655,0.982348719848,0.00604194638641,86396,0.00556738737905
2024-01-01,microprice_deviation_bps,500ms,7,0.016134819496,0.980091901339,0.00377327916479,86397,0.0123615403313
2024-01-01,microprice_deviation_bps,500ms,8,0.0237621241232,0.973633648927,0.0026042269497,86398,0.0211578971735
2024-01-01,microprice_deviation_bps,500ms,9,0.0412504774361,0.955994861052,0.00275466151229,86399,0.0384958159238
2024-01-01,microprice_deviation_bps,500ms,10,0.115662399593,0.881536609644,0.00280099076368,86398,0.112861408829
2024-01-01,ofi_500ms,500ms,1,0.00900504652993,0.898432797815,0.0925621556554,86396,-0.0835571091254
2024-01-01,ofi_500ms,500ms,2,0.0087155804021,0.958968482702,0.032315936896,86397,-0.0236003564939
2024-01-01,ofi_500ms,500ms,3,0.0109261788467,0.965855691104,0.0232181300493,86398,-0.0122919512026
2024-01-01,ofi_500ms,500ms,4,0.0105556777278,0.971978842348,0.0174654799245,86399,-0.00690980219678
2024-01-01,ofi_500ms,500ms,5,0.00984976504086,0.980566679784,0.00958355517489,86398,0.000266209865969
2024-01-01,ofi_500ms,500ms,6,0.0121529184366,0.978529844095,0.00931723746803,86399,0.00283568096853
2024-01-01,ofi_500ms,500ms,7,0.0179863192861,0.972071436012,0.00994224470191,86399,0.0080440745842
2024-01-01,ofi_500ms,500ms,8,0.0229403458413,0.965751522026,0.0113081321327,86398,0.0116322137087
2024-01-01,ofi_500ms,500ms,9,0.0320721304645,0.958992580933,0.00893528860288,86399,0.0231368418616
2024-01-01,ofi_500ms,500ms,10,0.0982777379106,0.89333086414,0.00839139794903,86398,0.0898863399616
2024-01-01,qi_1,500ms,1,0.00269679047211,0.884871352678,0.11243185685,86399,-0.109735066378
2024-01-01,qi_1,500ms,2,0.00320605562564,0.95288139909,0.0439125452841,86399,-0.0407064896584
2024-01-01,qi_1,500ms,3,0.00422463482951,0.973506331165,0.0222690340054,86398,-0.0180443991759
2024-01-01,qi_1,500ms,4,0.00539358094422,0.980115510596,0.0144909084596,86399,-0.00909732751536
2024-01-01,qi_1,500ms,5,0.008588161763,0.979397671242,0.0120141669946,86398,-0.0034260052316
2024-01-01,qi_1,500ms,6,0.0124311310709,0.981040788925,0.0065280800037,86396,0.00590305106718
2024-01-01,qi_1,500ms,7,0.0165630751068,0.979594198873,0.00384272602058,86397,0.0127203490862
2024-01-01,qi_1,500ms,8,0.0239820366212,0.973286418667,0.00273154471168,86398,0.0212504919095
2024-01-01,qi_1,500ms,9,0.0410074190674,0.955948564219,0.00304401671316,86399,0.0379634023542
2024-01-01,qi_1,500ms,10,0.114389221973,0.883839903701,0.00177087432579,86398,0.112618347647
2024-01-01,trade_imbalance_500ms,500ms,1,0.00751674379833,0.965319497542,0.0271637586593,69578,-0.019647014861
2024-01-01,trade_imbalance_500ms,500ms,2,0.00622332092502,0.976831424178,0.0169452548975,69577,-0.0107219339724
2024-01-01,trade_imbalance_500ms,500ms,3,0.0168877646349,0.944176955028,0.0389352803369,69577,-0.022047515702
2024-01-01,trade_imbalance_500ms,500ms,4,0.0168592618144,0.912742899851,0.0703978383351,69576,-0.0535385765206
2024-01-01,trade_imbalance_500ms,500ms,5,0.0236859881858,0.94387513115,0.0324388806646,69577,-0.00875289247884
2024-01-01,trade_imbalance_500ms,500ms,6,0.0312742533559,0.946146770531,0.0225789761131,69578,0.00869527724281
2024-01-01,trade_imbalance_500ms,500ms,7,0.0483520906099,0.934859787561,0.0167881218289,69573,0.031563968781
2024-01-01,trade_imbalance_500ms,500ms,8,0.0613708553114,0.929646291159,0.00898285352918,69577,0.0523880017822
2024-01-01,trade_imbalance_500ms,500ms,9,0.0190149043506,0.976040933067,0.00494416258246,69577,0.0140707417681
2024-01-01,trade_imbalance_500ms,500ms,10,0.0358020610259,0.950472138781,0.0137258001926,69577,0.0220762608333
2024-01-01,di_10,5s,1,0.05783631755,0.5159897684,0.42617391405,86399,-0.3683375965
2024-01-01,di_10,5s,2,0.0637623120638,0.651720506024,0.284517181912,86399,-0.220754869848
2024-01-01,di_10,5s,3,0.0755457302252,0.717863839441,0.206590430334,86398,-0.131044700109
2024-01-01,di_10,5s,4,0.0829060521534,0.758307387817,0.15878656003,86399,-0.0758805078762
2024-01-01,di_10,5s,5,0.0975601287067,0.771510914605,0.130928956689,86398,-0.0333688279821
2024-01-01,di_10,5s,6,0.132077873976,0.780093985833,0.0878281401917,86396,0.044249733784
2024-01-01,di_10,5s,7,0.158891487047,0.773157687588,0.0679508253652,86386,0.0909406616813
2024-01-01,di_10,5s,8,0.213983099896,0.735814330362,0.0502025697419,86390,0.163780530154
2024-01-01,di_10,5s,9,0.289210748729,0.660542067544,0.0502471837264,86373,0.238963565003
2024-01-01,di_10,5s,10,0.422984328341,0.533253084562,0.0437625870969,86398,0.379221741244
2024-01-01,di_5,5s,1,0.0578247433419,0.510561464832,0.431613791826,86399,-0.373789048484
2024-01-01,di_5,5s,2,0.0646882487066,0.651489021864,0.28382272943,86399,-0.219134480723
2024-01-01,di_5,5s,3,0.0740989374754,0.72006296442,0.205838098104,86398,-0.131739160629
2024-01-01,di_5,5s,4,0.0836352272596,0.759777312237,0.156587460503,86399,-0.0729522332434
2024-01-01,di_5,5s,5,0.0972939188407,0.775203129702,0.127502951457,86398,-0.0302090326165
2024-01-01,di_5,5s,6,0.132216769295,0.776436409093,0.0913468216121,86396,0.0408699476828
2024-01-01,di_5,5s,7,0.158349250449,0.777924408173,0.0637263413787,86385,0.0946229090699
2024-01-01,di_5,5s,8,0.209075649708,0.738565723216,0.0523586270765,86385,0.156717022631
2024-01-01,di_5,5s,9,0.289318005534,0.65991734102,0.0507646534459,86379,0.238553352088
2024-01-01,di_5,5s,10,0.42825065395,0.528322414871,0.043426931179,86398,0.384823722771
2024-01-01,microprice_deviation_bps,5s,1,0.0559034248082,0.52712415653,0.416972418662,86399,-0.361068993854
