date,feature,feature_group,bucket,p_up,p_down,count,p_up_minus_down,p_flat
2024-03-01,di_5,secondary,6,0.511823324733,0.488176675267,84494,0.0236466494662,
2024-03-01,di_5,secondary,7,0.595896142468,0.404103857532,84847,0.191792284936,
2024-03-01,di_5,secondary,8,0.651121202852,0.348878797148,84998,0.302242405704,
2024-03-01,di_5,secondary,9,0.743647848957,0.256352151043,85168,0.487295697915,
2024-03-01,di_5,secondary,10,0.865729345656,0.134270654344,86132,0.731458691311,
2024-03-01,ofi_100ms,secondary,1,0.296725458424,0.703274541576,85783,-0.406549083152,
2024-03-01,ofi_100ms,secondary,2,0.436963472191,0.563036527809,85387,-0.126073055617,
2024-03-01,ofi_100ms,secondary,3,0.456337366381,0.543662633619,85130,-0.0873252672383,
2024-03-01,ofi_100ms,secondary,4,0.476381330732,0.523618669268,85081,-0.0472373385362,
2024-03-01,ofi_100ms,secondary,5,0.490777550947,0.509222449053,83763,-0.0184448981054,
2024-03-01,ofi_100ms,secondary,6,0.496690376815,0.503309623185,85055,-0.00661924637,
2024-03-01,ofi_100ms,secondary,7,0.505546527238,0.494453472762,84918,0.0110930544761,
2024-03-01,ofi_100ms,secondary,8,0.545771711168,0.454228288832,85129,0.0915434223355,
2024-03-01,ofi_100ms,secondary,9,0.570334367863,0.429665632137,85385,0.140668735726,
2024-03-01,ofi_100ms,secondary,10,0.712235579163,0.287764420837,85848,0.424471158326,
2024-04-01,microprice_deviation_bps,primary,1,0.119153343413,0.880846656587,84001,-0.761693313175,
2024-04-01,microprice_deviation_bps,primary,2,0.216283955623,0.783716044377,81393,-0.567432088755,
2024-04-01,microprice_deviation_bps,primary,3,0.293568751729,0.706431248271,79518,-0.412862496542,
2024-04-01,microprice_deviation_bps,primary,4,0.365923384791,0.634076615209,78705,-0.268153230417,
2024-04-01,microprice_deviation_bps,primary,5,0.430060233971,0.569939766029,77531,-0.139879532058,
2024-04-01,microprice_deviation_bps,primary,6,0.520175156159,0.479824843841,77645,0.0403503123189,
2024-04-01,microprice_deviation_bps,primary,7,0.57207589201,0.42792410799,79007,0.144151784019,
2024-04-01,microprice_deviation_bps,primary,8,0.660670655697,0.339329344303,80220,0.321341311394,
2024-04-01,microprice_deviation_bps,primary,9,0.753895171315,0.246104828685,82859,0.50779034263,
2024-04-01,microprice_deviation_bps,primary,10,0.856563211845,0.143436788155,84288,0.71312642369,
2024-04-01,qi_1,primary,1,0.112926535048,0.887073464952,83727,-0.774146929903,
2024-04-01,qi_1,primary,2,0.217792693121,0.782207306879,81348,-0.564414613758,
2024-04-01,qi_1,primary,3,0.296577708006,0.703422291994,79625,-0.406844583987,
2024-04-01,qi_1,primary,4,0.366489354949,0.633510645051,78769,-0.267021290101,
2024-04-01,qi_1,primary,5,0.430462211922,0.569537788078,77670,-0.139075576156,
2024-04-01,qi_1,primary,6,0.520134271346,0.479865728654,77753,0.0402685426929,
2024-04-01,qi_1,primary,7,0.571421349948,0.428578650052,79129,0.142842699895,
2024-04-01,qi_1,primary,8,0.658159956094,0.341840043906,80172,0.316319912189,
2024-04-01,qi_1,primary,9,0.749439907494,0.250560092506,83022,0.498879814989,
