date,median_spread_bps,p95_spread_bps,minimum_spread_bps,fraction_at_minimum_spread,distinct_spread_values,horizon,group,qi_1_spearman_ic,count
2025-08-01,0.000868888655351,0.000882523384994,0.00086168273109,0.000899313882536,33730,100ms,minimum_spread,0.0696771245498,777
2025-08-01,0.000868888655351,0.000882523384994,0.00086168273109,0.000899313882536,33730,100ms,wider_spread,0.32729355984,863215
2025-08-01,0.000868888655351,0.000882523384994,0.00086168273109,0.000899313882536,33730,500ms,minimum_spread,0.156277236899,777
2025-08-01,0.000868888655351,0.000882523384994,0.00086168273109,0.000899313882536,33730,500ms,wider_spread,0.460778451366,863215
2025-08-01,0.000868888655351,0.000882523384994,0.00086168273109,0.000899313882536,33730,1s,minimum_spread,0.219043830454,777
2025-08-01,0.000868888655351,0.000882523384994,0.00086168273109,0.000899313882536,33730,1s,wider_spread,0.484680404308,863215
2025-08-01,0.000868888655351,0.000882523384994,0.00086168273109,0.000899313882536,33730,5s,minimum_spread,0.509731191658,777
2025-08-01,0.000868888655351,0.000882523384994,0.00086168273109,0.000899313882536,33730,5s,wider_spread,0.379569247813,863215
2025-08-01,0.000868888655351,0.000882523384994,0.00086168273109,0.000899313882536,33730,30s,minimum_spread,0.433901901725,777
2025-08-01,0.000868888655351,0.000882523384994,0.00086168273109,0.000899313882536,33730,30s,wider_spread,0.16395728146,863215
2025-09-01,0.000920048731301,0.000930310228226,0.000909815494422,4.62979574499e-06,27356,100ms,minimum_spread,0.774596669241,4
2025-09-01,0.000920048731301,0.000930310228226,0.000909815494422,4.62979574499e-06,27356,100ms,wider_spread,0.292860999064,863965
2025-09-01,0.000920048731301,0.000930310228226,0.000909815494422,4.62979574499e-06,27356,500ms,minimum_spread,0.948683298051,4
2025-09-01,0.000920048731301,0.000930310228226,0.000909815494422,4.62979574499e-06,27356,500ms,wider_spread,0.420154451614,863965
2025-09-01,0.000920048731301,0.000930310228226,0.000909815494422,4.62979574499e-06,27356,1s,minimum_spread,0.894427191,4
2025-09-01,0.000920048731301,0.000930310228226,0.000909815494422,4.62979574499e-06,27356,1s,wider_spread,0.463758744784,863965
2025-09-01,0.000920048731301,0.000930310228226,0.000909815494422,4.62979574499e-06,27356,5s,minimum_spread,,4
2025-09-01,0.000920048731301,0.000930310228226,0.000909815494422,4.62979574499e-06,27356,5s,wider_spread,0.40499055496,863965
2025-09-01,0.000920048731301,0.000930310228226,0.000909815494422,4.62979574499e-06,27356,30s,minimum_spread,,4
2025-09-01,0.000920048731301,0.000930310228226,0.000909815494422,4.62979574499e-06,27356,30s,wider_spread,0.167302285756,863965
2025-10-01,0.000858481438193,0.000875482604314,0.000842821430707,1.15742884127e-06,23128,100ms,minimum_spread,,1
2025-10-01,0.000858481438193,0.000875482604314,0.000842821430707,1.15742884127e-06,23128,100ms,wider_spread,0.249025186017,863983
2025-10-01,0.000858481438193,0.000875482604314,0.000842821430707,1.15742884127e-06,23128,500ms,minimum_spread,,1
2025-10-01,0.000858481438193,0.000875482604314,0.000842821430707,1.15742884127e-06,23128,500ms,wider_spread,0.353713098649,863983
2025-10-01,0.000858481438193,0.000875482604314,0.000842821430707,1.15742884127e-06,23128,1s,minimum_spread,,1
2025-10-01,0.000858481438193,0.000875482604314,0.000842821430707,1.15742884127e-06,23128,1s,wider_spread,0.396683120033,863983
2025-10-01,0.000858481438193,0.000875482604314,0.000842821430707,1.15742884127e-06,23128,5s,minimum_spread,,1
2025-10-01,0.000858481438193,0.000875482604314,0.000842821430707,1.15742884127e-06,23128,5s,wider_spread,0.417607036197,863983
2025-10-01,0.000858481438193,0.000875482604314,0.000842821430707,1.15742884127e-06,23128,30s,minimum_spread,,1
2025-10-01,0.000858481438193,0.000875482604314,0.000842821430707,1.15742884127e-06,23128,30s,wider_spread,0.234824774699,863983
