date,fold_id,model,signal,count,mean_future_mid_return,median_future_mid_return,p_return_gt_0,p_return_lt_0,mean_signed_future_mid_return,median_signed_future_mid_return,positive_signed_fraction
2025-05-01,11,qi_direct_baseline,FLAT,75780,5.04524219003e-07,0,0.058419107944,0.057521773555,0,0,0
2025-05-01,11,qi_direct_baseline,LONG,5492,2.71344340714e-05,0,0.31573197378,0.00782957028405,2.71344340714e-05,0,0.31573197378
2025-05-01,11,qi_direct_baseline,LONG_MINUS_SHORT,10619,5.89151472252e-05,0,,,,,
2025-05-01,11,lightgbm_qi_ofi,SHORT,5941,-3.10153927114e-05,0,0.0193570106043,0.394546372665,3.10153927114e-05,0,0.394546372665
2025-05-01,11,lightgbm_qi_ofi,FLAT,75017,5.57197019823e-07,0,0.0556940426837,0.0530013197009,0,0,0
2025-05-01,11,lightgbm_qi_ofi,LONG,5441,3.06522036683e-05,0,0.35563315567,0.014519389818,3.06522036683e-05,0,0.35563315567
2025-05-01,11,lightgbm_qi_ofi,LONG_MINUS_SHORT,11382,6.16675963797e-05,0,,,,,
2025-05-01,11,lightgbm_extended,SHORT,2390,-4.6921626708e-05,-1.10891771379e-05,0.0209205020921,0.55690376569,4.6921626708e-05,1.10891771379e-05,0.55690376569
2025-05-01,11,lightgbm_extended,FLAT,81077,3.01000487602e-07,0,0.0603377036644,0.0619164497946,0,0,0
2025-05-01,11,lightgbm_extended,LONG,2932,3.82175689616e-05,0,0.43860845839,0.0163710777626,3.82175689616e-05,0,0.43860845839
2025-05-01,11,lightgbm_extended,LONG_MINUS_SHORT,5322,8.51391956696e-05,1.10891771379e-05,,,,,
2025-06-01,12,qi_direct_baseline,SHORT,4787,-2.24166861104e-05,0,0.00564027574681,0.336536452893,2.24166861104e-05,0,0.336536452893
2025-06-01,12,qi_direct_baseline,FLAT,75890,-5.66760139117e-08,0,0.0294241665569,0.0309526946897,0,0,0
2025-06-01,12,qi_direct_baseline,LONG,5722,2.12528184495e-05,0,0.304089479203,0.0045438657812,2.12528184495e-05,0,0.304089479203
2025-06-01,12,qi_direct_baseline,LONG_MINUS_SHORT,10509,4.36695045599e-05,0,,,,,
2025-06-01,12,lightgbm_qi_ofi,SHORT,3842,-2.57745950542e-05,0,0.00806871421135,0.368558042686,2.57745950542e-05,0,0.368558042686
2025-06-01,12,lightgbm_qi_ofi,FLAT,78462,3.78858707164e-08,0,0.0320409879942,0.0324360837093,0,0,0
2025-06-01,12,lightgbm_qi_ofi,LONG,4095,2.58979733998e-05,0,0.355311355311,0.00610500610501,2.58979733998e-05,0,0.355311355311
2025-06-01,12,lightgbm_qi_ofi,LONG_MINUS_SHORT,7937,5.1672568454e-05,0,,,,,
2025-06-01,12,lightgbm_extended,SHORT,1020,-3.77812266605e-05,-1.03781759021e-05,0.0147058823529,0.576470588235,3.77812266605e-05,1.03781759021e-05,0.576470588235
2025-06-01,12,lightgbm_extended,FLAT,84388,8.1267418937e-08,0,0.0406100393421,0.0401360382993,0,0,0
2025-06-01,12,lightgbm_extended,LONG,991,4.20561698349e-05,9.22148257708e-06,0.563067608476,0.0110998990918,4.20561698349e-05,9.22148257708e-06,0.563067608476
