model,feature_set,date,spearman_ic,row_count
lightgbm_regression,core_independent_microstructure,2025-11-01,0.368277022632,86398
lightgbm_regression,core_independent_microstructure,2025-12-01,0.439434622886,86399
ridge,extended_book_flow,2025-01-01,0.404953981701,86399
ridge,extended_book_flow,2025-02-01,0.445651122404,86399
ridge,extended_book_flow,2025-03-01,0.501449530276,86396
ridge,extended_book_flow,2025-04-01,0.472429838327,86399
ridge,extended_book_flow,2025-05-01,0.356322122374,86399
ridge,extended_book_flow,2025-06-01,0.34046023383,86399
ridge,extended_book_flow,2025-07-01,0.37298924973,86393
ridge,extended_book_flow,2025-08-01,0.474371064487,86399
ridge,extended_book_flow,2025-09-01,0.4559261302,86393
ridge,extended_book_flow,2025-10-01,0.396258089269,86398
ridge,extended_book_flow,2025-11-01,0.363944894443,86398
ridge,extended_book_flow,2025-12-01,0.41954195818,86399
lightgbm_regression,extended_book_flow,2025-01-01,0.412102242937,86399
lightgbm_regression,extended_book_flow,2025-02-01,0.4537045125,86399
lightgbm_regression,extended_book_flow,2025-03-01,0.513657943041,86396
lightgbm_regression,extended_book_flow,2025-04-01,0.491534305027,86399
lightgbm_regression,extended_book_flow,2025-05-01,0.367167386159,86399
lightgbm_regression,extended_book_flow,2025-06-01,0.347225394612,86399
lightgbm_regression,extended_book_flow,2025-07-01,0.383698127683,86393
lightgbm_regression,extended_book_flow,2025-08-01,0.496341845656,86399
lightgbm_regression,extended_book_flow,2025-09-01,0.473769228545,86393
lightgbm_regression,extended_book_flow,2025-10-01,0.410747761833,86398
lightgbm_regression,extended_book_flow,2025-11-01,0.369670562006,86398
lightgbm_regression,extended_book_flow,2025-12-01,0.442433466358,86399
ridge,reference_ofi_only,2025-01-01,0.283279352689,86399
ridge,reference_ofi_only,2025-02-01,0.300156538575,86399
ridge,reference_ofi_only,2025-03-01,0.380992622989,86396
ridge,reference_ofi_only,2025-04-01,0.360749593001,86399
ridge,reference_ofi_only,2025-05-01,0.248481476056,86399
ridge,reference_ofi_only,2025-06-01,0.224109918833,86399
ridge,reference_ofi_only,2025-07-01,0.248404365947,86393
ridge,reference_ofi_only,2025-08-01,0.363550756248,86399
ridge,reference_ofi_only,2025-09-01,0.335411113936,86393
ridge,reference_ofi_only,2025-10-01,0.277182814845,86398
ridge,reference_ofi_only,2025-11-01,0.222837942079,86398
ridge,reference_ofi_only,2025-12-01,0.304474178581,86399
lightgbm_regression,reference_ofi_only,2025-01-01,0.283450754007,86399
lightgbm_regression,reference_ofi_only,2025-02-01,0.300000396088,86399
lightgbm_regression,reference_ofi_only,2025-03-01,0.380700723255,86396
lightgbm_regression,reference_ofi_only,2025-04-01,0.360424565454,86399
lightgbm_regression,reference_ofi_only,2025-05-01,0.248459344299,86399
lightgbm_regression,reference_ofi_only,2025-06-01,0.224098925039,86399
lightgbm_regression,reference_ofi_only,2025-07-01,0.248390925476,86393
lightgbm_regression,reference_ofi_only,2025-08-01,0.363141085112,86399
lightgbm_regression,reference_ofi_only,2025-09-01,0.335001221167,86393
lightgbm_regression,reference_ofi_only,2025-10-01,0.276721775813,86398
lightgbm_regression,reference_ofi_only,2025-11-01,0.223016629191,86398
lightgbm_regression,reference_ofi_only,2025-12-01,0.304299187528,86399
ridge,reference_trade_imbalance_only,2025-01-01,0.145109412037,86399
ridge,reference_trade_imbalance_only,2025-02-01,0.16366199062,86399
ridge,reference_trade_imbalance_only,2025-03-01,0.197505157444,86396
ridge,reference_trade_imbalance_only,2025-04-01,0.184833616853,86399
ridge,reference_trade_imbalance_only,2025-05-01,0.114102203888,86399
ridge,reference_trade_imbalance_only,2025-06-01,0.122094377965,86399
ridge,reference_trade_imbalance_only,2025-07-01,0.10607953201,86393
ridge,reference_trade_imbalance_only,2025-08-01,0.201013488187,86399
ridge,reference_trade_imbalance_only,2025-09-01,0.196009796583,86393
ridge,reference_trade_imbalance_only,2025-10-01,0.142939337167,86398
ridge,reference_trade_imbalance_only,2025-11-01,0.138954737459,86398
ridge,reference_trade_imbalance_only,2025-12-01,0.166773945337,86399
lightgbm_regression,reference_trade_imbalance_only,2025-01-01,0.188923366763,86399
lightgbm_regression,reference_trade_imbalance_only,2025-02-01,0.193339527327,86399
lightgbm_regression,reference_trade_imbalance_only,2025-03-01,0.22691359521,86396
lightgbm_regression,reference_trade_imbalance_only,2025-04-01,0.235806776334,86399
lightgbm_regression,reference_trade_imbalance_only,2025-05-01,0.147029793258,86399
lightgbm_regression,reference_trade_imbalance_only,2025-06-01,0.152110103575,86399
lightgbm_regression,reference_trade_imbalance_only,2025-07-01,0.135885508558,86393
lightgbm_regression,reference_trade_imbalance_only,2025-08-01,0.228892881178,86399
lightgbm_regression,reference_trade_imbalance_only,2025-09-01,0.241440394129,86393
lightgbm_regression,reference_trade_imbalance_only,2025-10-01,0.181730914301,86398
lightgbm_regression,reference_trade_imbalance_only,2025-11-01,0.178842381461,86398
lightgbm_regression,reference_trade_imbalance_only,2025-12-01,0.184376465232,86399
