comparison,left_model,right_model,latency_ms,fee_bps,gross_pnl_increment,turnover_increment,gross_pnl_bps_increment,net_pnl_increment
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,50,0.25,175.98133805999532,76973870.68993205,-0.1236926803763177,-1748.3654291883058
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,50,0.5,175.98133805999532,76973870.68993205,-0.1236926803763177,-3672.712196436607
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,50,1.0,175.98133805999532,76973870.68993205,-0.1236926803763177,-7521.405730933209
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,50,2.0,175.98133805999532,76973870.68993205,-0.1236926803763177,-15218.792799926414
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,50,5.0,175.98133805999532,76973870.68993205,-0.1236926803763177,-38310.95400690602
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,50,10.0,175.98133805999532,76973870.68993205,-0.1236926803763177,-76797.88935187203
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,50,0.0,170.6367092869259,-13331678.813409746,0.024559730042181926,170.6367092869259
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,50,0.1,170.6367092869259,-13331678.813409746,0.024559730042181926,303.95349742102326
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,50,0.25,170.6367092869259,-13331678.813409746,0.024559730042181926,503.9286796221695
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,50,0.5,170.6367092869259,-13331678.813409746,0.024559730042181926,837.2206499574131
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,50,1.0,170.6367092869259,-13331678.813409746,0.024559730042181926,1503.8045906279003
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,50,2.0,170.6367092869259,-13331678.813409746,0.024559730042181926,2836.9724719688747
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,50,5.0,170.6367092869259,-13331678.813409746,0.024559730042181926,6836.476115991783
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,50,10.0,170.6367092869259,-13331678.813409746,0.024559730042181926,13502.315522696648
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,100,0.0,86.48766801688907,63566239.548938274,-0.107393111090059,86.48766801688907
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,100,0.1,86.48766801688907,63566239.548938274,-0.107393111090059,-549.1747274724939
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,100,0.25,86.48766801688907,63566239.548938274,-0.107393111090059,-1502.6683207065676
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,100,0.5,86.48766801688907,63566239.548938274,-0.107393111090059,-3091.824309430024
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,100,1.0,86.48766801688907,63566239.548938274,-0.107393111090059,-6270.136286876937
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,100,2.0,86.48766801688907,63566239.548938274,-0.107393111090059,-12626.760241770764
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,100,5.0,86.48766801688907,63566239.548938274,-0.107393111090059,-31696.63210645225
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,100,10.0,86.48766801688907,63566239.548938274,-0.107393111090059,-63479.751880921394
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,100,0.0,145.61315456845114,76912675.92145365,-0.1201871953323527,145.61315456845114
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,100,0.1,145.61315456845114,76912675.92145365,-0.1201871953323527,-623.5136046460857
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,100,0.25,145.61315456845114,76912675.92145365,-0.1201871953323527,-1777.20374346789
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,100,0.5,145.61315456845114,76912675.92145365,-0.1201871953323527,-3700.020641504231
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,100,1.0,145.61315456845114,76912675.92145365,-0.1201871953323527,-7545.654437576914
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,100,2.0,145.61315456845114,76912675.92145365,-0.1201871953323527,-15236.922029722275
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,100,5.0,145.61315456845114,76912675.92145365,-0.1201871953323527,-38310.724806158396
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,100,10.0,145.61315456845114,76912675.92145365,-0.1201871953323527,-76767.06276688524
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,100,0.0,-59.12548655156206,-13346436.37251538,0.012794084242293696,-59.12548655156206
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,100,0.1,-59.12548655156206,-13346436.37251538,0.012794084242293696,74.33887717359175
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,100,0.25,-59.12548655156206,-13346436.37251538,0.012794084242293696,274.5354227613225
