date,model,mode,latency_ms,gross_pnl,turnover,breakeven_fee_status,breakeven_fee_bps,fee_grid_interpolated_breakeven_bps,maker_turnover,taker_turnover,fee_scenario,maker_fee_bps,taker_fee_bps,breakeven_relationship,breakeven_maker_fee_bps_at_fixed_taker,breakeven_taker_fee_bps_at_fixed_maker,maker_breakeven_requires_rebate,taker_breakeven_requires_rebate
2024-07-01,lightgbm_qi_ofi,passive,100,-2178.263225474686,8031909.703807328,,,,6167281.883051742,1864627.820755681,P3,0.0,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-3.834308293980755,-11.682026843254421,True,True
2024-07-01,lightgbm_qi_ofi,passive,100,-2178.263225474686,8031909.703807328,,,,6167281.883051742,1864627.820755681,P4,0.25,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-3.834308293980755,-12.508905244188115,True,True
2024-07-01,lightgbm_qi_ofi,passive,100,-2178.263225474686,8031909.703807328,,,,6167281.883051742,1864627.820755681,P5,0.5,2.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.136650209935634,-13.335783645121811,True,True
2024-07-01,lightgbm_qi_ofi,passive,100,-2178.263225474686,8031909.703807328,,,,6167281.883051742,1864627.820755681,P6,1.0,5.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.043675957800272,-14.989540446989196,True,True
2024-07-01,lightgbm_qi_ofi,passive,250,-2348.992528170522,9603448.387135888,,,,5650281.4311418235,3953166.9559940496,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.157301820797679,-5.942052421056556,True,True
2024-07-01,lightgbm_qi_ofi,passive,250,-2348.992528170522,9603448.387135888,,,,5650281.4311418235,3953166.9559940496,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.507122179674492,-5.22739990396839,True,True
2024-07-01,lightgbm_qi_ofi,passive,250,-2348.992528170522,9603448.387135888,,,,5650281.4311418235,3953166.9559940496,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.507122179674492,-5.942052421056556,True,True
2024-07-01,lightgbm_qi_ofi,passive,250,-2348.992528170522,9603448.387135888,,,,5650281.4311418235,3953166.9559940496,P3,0.0,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.856942538551304,-5.942052421056556,True,True
2024-07-01,lightgbm_qi_ofi,passive,250,-2348.992528170522,9603448.387135888,,,,5650281.4311418235,3953166.9559940496,P4,0.25,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.856942538551304,-6.29937867960064,True,True
2024-07-01,lightgbm_qi_ofi,passive,250,-2348.992528170522,9603448.387135888,,,,5650281.4311418235,3953166.9559940496,P5,0.5,2.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.556583256304931,-6.656704938144722,True,True
2024-07-01,lightgbm_qi_ofi,passive,250,-2348.992528170522,9603448.387135888,,,,5650281.4311418235,3953166.9559940496,P6,1.0,5.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-7.655505409565808,-7.371357455232889,True,True
2024-07-01,lightgbm_qi_ofi,passive,50,-2788.000988913991,6015685.623392807,,,,6015685.623392854,0.0,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.634552341087191,,True,False
2024-07-01,lightgbm_qi_ofi,passive,50,-2788.000988913991,6015685.623392807,,,,6015685.623392854,0.0,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.634552341087191,,True,False
2024-07-01,lightgbm_qi_ofi,passive,50,-2788.000988913991,6015685.623392807,,,,6015685.623392854,0.0,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.634552341087191,,True,False
2024-07-01,lightgbm_qi_ofi,passive,50,-2788.000988913991,6015685.623392807,,,,6015685.623392854,0.0,P3,0.0,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.634552341087191,,True,False
2024-07-01,lightgbm_qi_ofi,passive,50,-2788.000988913991,6015685.623392807,,,,6015685.623392854,0.0,P4,0.25,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.634552341087191,,True,False
2024-07-01,lightgbm_qi_ofi,passive,50,-2788.000988913991,6015685.623392807,,,,6015685.623392854,0.0,P5,0.5,2.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.634552341087191,,True,False
2024-07-01,lightgbm_qi_ofi,passive,50,-2788.000988913991,6015685.623392807,,,,6015685.623392854,0.0,P6,1.0,5.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.634552341087191,,True,False
2024-07-01,qi_direct_baseline,passive,0,-1035.9125899009377,1879536.6388541388,,,,1879536.638854131,0.0,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.5115317705777045,,True,False
2024-07-01,qi_direct_baseline,passive,0,-1035.9125899009377,1879536.6388541388,,,,1879536.638854131,0.0,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.5115317705777045,,True,False
2024-07-01,qi_direct_baseline,passive,0,-1035.9125899009377,1879536.6388541388,,,,1879536.638854131,0.0,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.5115317705777045,,True,False
2024-07-01,qi_direct_baseline,passive,0,-1035.9125899009377,1879536.6388541388,,,,1879536.638854131,0.0,P3,0.0,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.5115317705777045,,True,False
2024-07-01,qi_direct_baseline,passive,0,-1035.9125899009377,1879536.6388541388,,,,1879536.638854131,0.0,P4,0.25,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.5115317705777045,,True,False
2024-07-01,qi_direct_baseline,passive,0,-1035.9125899009377,1879536.6388541388,,,,1879536.638854131,0.0,P5,0.5,2.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.5115317705777045,,True,False
2024-07-01,qi_direct_baseline,passive,0,-1035.9125899009377,1879536.6388541388,,,,1879536.638854131,0.0,P6,1.0,5.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.5115317705777045,,True,False
2024-07-01,qi_direct_baseline,passive,10,-921.6541381248244,1879087.513323403,,,,1879087.5133233974,0.0,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.904796245996897,,True,False
2024-07-01,qi_direct_baseline,passive,10,-921.6541381248244,1879087.513323403,,,,1879087.5133233974,0.0,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.904796245996897,,True,False
2024-07-01,qi_direct_baseline,passive,10,-921.6541381248244,1879087.513323403,,,,1879087.5133233974,0.0,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.904796245996897,,True,False
2024-07-01,qi_direct_baseline,passive,10,-921.6541381248244,1879087.513323403,,,,1879087.5133233974,0.0,P3,0.0,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.904796245996897,,True,False
2024-07-01,qi_direct_baseline,passive,10,-921.6541381248244,1879087.513323403,,,,1879087.5133233974,0.0,P4,0.25,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.904796245996897,,True,False
2024-07-01,qi_direct_baseline,passive,10,-921.6541381248244,1879087.513323403,,,,1879087.5133233974,0.0,P5,0.5,2.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.904796245996897,,True,False
2024-07-01,qi_direct_baseline,passive,10,-921.6541381248244,1879087.513323403,,,,1879087.5133233974,0.0,P6,1.0,5.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.904796245996897,,True,False
2024-07-01,qi_direct_baseline,passive,100,151.5554936050612,3023648.8893636637,,,,2029013.0519646325,994635.8373990372,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,0.7469419354316847,1.5237284632874009,False,False
2024-07-01,qi_direct_baseline,passive,100,151.5554936050612,3023648.8893636637,,,,2029013.0519646325,994635.8373990372,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,0.5018385743576982,2.5437063163227798,False,False
2024-07-01,qi_direct_baseline,passive,100,151.5554936050612,3023648.8893636637,,,,2029013.0519646325,994635.8373990372,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,0.5018385743576982,1.5237284632874009,False,False
2024-07-01,qi_direct_baseline,passive,100,151.5554936050612,3023648.8893636637,,,,2029013.0519646325,994635.8373990372,P3,0.0,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,0.25673521328371174,1.5237284632874009,False,False
2024-07-01,qi_direct_baseline,passive,100,151.5554936050612,3023648.8893636637,,,,2029013.0519646325,994635.8373990372,P4,0.25,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,0.25673521328371174,1.0137395367697115,False,False
2024-07-01,qi_direct_baseline,passive,100,151.5554936050612,3023648.8893636637,,,,2029013.0519646325,994635.8373990372,P5,0.5,2.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-0.23347150886426127,0.5037506102520218,True,False
2024-07-01,qi_direct_baseline,passive,100,151.5554936050612,3023648.8893636637,,,,2029013.0519646325,994635.8373990372,P6,1.0,5.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-1.7040916753081798,-0.5162272427833572,True,True
2024-07-01,qi_direct_baseline,passive,250,-1478.53166434163,4167588.5765408925,,,,1984415.3614559984,2183173.2150849155,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-7.450716684922288,-6.772397417325962,True,True
2024-07-01,qi_direct_baseline,passive,250,-1478.53166434163,4167588.5765408925,,,,1984415.3614559984,2183173.2150849155,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-8.00079638534425,-6.317917821354277,True,True
2024-07-01,qi_direct_baseline,passive,250,-1478.53166434163,4167588.5765408925,,,,1984415.3614559984,2183173.2150849155,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-8.00079638534425,-6.772397417325962,True,True
