date,model,mode,latency_ms,fee_bps,gross_pnl,taker_fees,total_fees,net_pnl,turnover,net_pnl_bps_of_turnover
2024-07-01,qi_direct_baseline,market,0,5.0,5374.277072860903,71438.10500782091,71438.10500782091,-66063.82793496,142876210.0156418,-4.623850809573368
2024-07-01,qi_direct_baseline,market,0,10.0,5374.277072860903,142876.21001564182,142876.21001564182,-137501.9329427809,142876210.0156418,-9.623850809573367
2024-07-01,qi_direct_baseline,market,10,0.0,5374.277072860903,0.0,0.0,5374.277072860903,142876210.0156418,0.3761491904266314
2024-07-01,qi_direct_baseline,market,10,0.1,5374.277072860903,1428.7621001564182,1428.7621001564182,3945.5149727044845,142876210.0156418,0.2761491904266314
2024-07-01,qi_direct_baseline,market,10,0.25,5374.277072860903,3571.9052503910452,3571.9052503910452,1802.3718224698578,142876210.0156418,0.1261491904266314
2024-07-01,qi_direct_baseline,market,10,0.5,5374.277072860903,7143.8105007820905,7143.8105007820905,-1769.5334279211875,142876210.0156418,-0.12385080957336861
2024-07-01,qi_direct_baseline,market,10,1.0,5374.277072860903,14287.621001564181,14287.621001564181,-8913.343928703278,142876210.0156418,-0.6238508095733686
2024-07-01,qi_direct_baseline,market,10,2.0,5374.277072860903,28575.242003128362,28575.242003128362,-23200.96493026746,142876210.0156418,-1.6238508095733686
2024-07-01,qi_direct_baseline,market,10,5.0,5374.277072860903,71438.10500782091,71438.10500782091,-66063.82793496,142876210.0156418,-4.623850809573368
2024-07-01,qi_direct_baseline,market,10,10.0,5374.277072860903,142876.21001564182,142876.21001564182,-137501.9329427809,142876210.0156418,-9.623850809573367
2024-07-01,qi_direct_baseline,market,100,0.0,5177.823381225753,0.0,0.0,5177.823381225753,142879876.99890685,0.3623899663117268
2024-07-01,qi_direct_baseline,market,100,0.1,5177.823381225753,1428.7987699890687,1428.7987699890687,3749.0246112366844,142879876.99890685,0.26238996631172684
2024-07-01,qi_direct_baseline,market,100,0.25,5177.823381225753,3571.9969249726714,3571.9969249726714,1605.8264562530817,142879876.99890685,0.11238996631172685
2024-07-01,qi_direct_baseline,market,100,0.5,5177.823381225753,7143.993849945343,7143.993849945343,-1966.1704687195897,142879876.99890685,-0.13761003368827315
2024-07-01,qi_direct_baseline,market,100,1.0,5177.823381225753,14287.987699890686,14287.987699890686,-9110.164318664933,142879876.99890685,-0.6376100336882732
2024-07-01,qi_direct_baseline,market,100,2.0,5177.823381225753,28575.97539978137,28575.97539978137,-23398.15201855562,142879876.99890685,-1.6376100336882733
2024-07-01,qi_direct_baseline,market,100,5.0,5177.823381225753,71439.93849945342,71439.93849945342,-66262.11511822767,142879876.99890685,-4.637610033688273
2024-07-01,qi_direct_baseline,market,100,10.0,5177.823381225753,142879.87699890684,142879.87699890684,-137702.0536176811,142879876.99890685,-9.637610033688272
2024-07-01,qi_direct_baseline,market,250,0.0,4267.334070700442,0.0,0.0,4267.334070700442,142952045.4788868,0.2985150759056961
2024-07-01,qi_direct_baseline,market,250,0.1,4267.334070700442,1429.5204547888682,1429.5204547888682,2837.813615911574,142952045.4788868,0.1985150759056961
2024-07-01,qi_direct_baseline,market,250,0.25,4267.334070700442,3573.8011369721703,3573.8011369721703,693.5329337282715,142952045.4788868,0.0485150759056961
2024-07-01,qi_direct_baseline,market,250,0.5,4267.334070700442,7147.602273944341,7147.602273944341,-2880.268203243899,142952045.4788868,-0.2014849240943039
2024-07-01,qi_direct_baseline,market,250,1.0,4267.334070700442,14295.204547888681,14295.204547888681,-10027.87047718824,142952045.4788868,-0.7014849240943039
2024-07-01,qi_direct_baseline,market,250,2.0,4267.334070700442,28590.409095777362,28590.409095777362,-24323.07502507692,142952045.4788868,-1.7014849240943037
2024-07-01,qi_direct_baseline,market,250,5.0,4267.334070700442,71476.0227394434,71476.0227394434,-67208.68866874297,142952045.4788868,-4.701484924094304
2024-07-01,qi_direct_baseline,market,250,10.0,4267.334070700442,142952.0454788868,142952.0454788868,-138684.71140818635,142952045.4788868,-9.701484924094302
2024-07-01,qi_direct_baseline,market,50,0.0,5374.277072860903,0.0,0.0,5374.277072860903,142876210.0156418,0.3761491904266314
2024-07-01,qi_direct_baseline,market,50,0.1,5374.277072860903,1428.7621001564182,1428.7621001564182,3945.5149727044845,142876210.0156418,0.2761491904266314
2024-07-01,qi_direct_baseline,market,50,0.25,5374.277072860903,3571.9052503910452,3571.9052503910452,1802.3718224698578,142876210.0156418,0.1261491904266314
2024-07-01,qi_direct_baseline,market,50,0.5,5374.277072860903,7143.8105007820905,7143.8105007820905,-1769.5334279211875,142876210.0156418,-0.12385080957336861
2024-07-01,qi_direct_baseline,market,50,1.0,5374.277072860903,14287.621001564181,14287.621001564181,-8913.343928703278,142876210.0156418,-0.6238508095733686
2024-07-01,qi_direct_baseline,market,50,2.0,5374.277072860903,28575.242003128362,28575.242003128362,-23200.96493026746,142876210.0156418,-1.6238508095733686
2024-07-01,qi_direct_baseline,market,50,5.0,5374.277072860903,71438.10500782091,71438.10500782091,-66063.82793496,142876210.0156418,-4.623850809573368
2024-07-01,qi_direct_baseline,market,50,10.0,5374.277072860903,142876.21001564182,142876.21001564182,-137501.9329427809,142876210.0156418,-9.623850809573367
