date,model,mode,latency_ms,fee_scenario,gross_pnl,maker_fees,taker_fees,total_fees,net_pnl,fee_burden_fraction_of_gross_pnl
2024-07-01,qi_direct_baseline,market,10,market_1_00bps,5374.277072860903,0.0,14287.621001564181,14287.621001564181,-8913.343928703278,2.65851961256594
2024-07-01,qi_direct_baseline,market,10,market_2_00bps,5374.277072860903,0.0,28575.242003128362,28575.242003128362,-23200.96493026746,5.31703922513188
2024-07-01,qi_direct_baseline,market,10,market_5_00bps,5374.277072860903,0.0,71438.10500782091,71438.10500782091,-66063.82793496,13.2925980628297
2024-07-01,qi_direct_baseline,market,10,market_10_00bps,5374.277072860903,0.0,142876.21001564182,142876.21001564182,-137501.9329427809,26.5851961256594
2024-07-01,qi_direct_baseline,market,100,market_0_00bps,5177.823381225753,0.0,0.0,0.0,5177.823381225753,0.0
2024-07-01,qi_direct_baseline,market,100,market_0_10bps,5177.823381225753,0.0,1428.7987699890687,1428.7987699890687,3749.0246112366844,0.27594582989635064
2024-07-01,qi_direct_baseline,market,100,market_0_25bps,5177.823381225753,0.0,3571.9969249726714,3571.9969249726714,1605.8264562530817,0.6898645747408765
2024-07-01,qi_direct_baseline,market,100,market_0_50bps,5177.823381225753,0.0,7143.993849945343,7143.993849945343,-1966.1704687195897,1.379729149481753
2024-07-01,qi_direct_baseline,market,100,market_1_00bps,5177.823381225753,0.0,14287.987699890686,14287.987699890686,-9110.164318664933,2.759458298963506
2024-07-01,qi_direct_baseline,market,100,market_2_00bps,5177.823381225753,0.0,28575.97539978137,28575.97539978137,-23398.15201855562,5.518916597927012
2024-07-01,qi_direct_baseline,market,100,market_5_00bps,5177.823381225753,0.0,71439.93849945342,71439.93849945342,-66262.11511822767,13.797291494817529
2024-07-01,qi_direct_baseline,market,100,market_10_00bps,5177.823381225753,0.0,142879.87699890684,142879.87699890684,-137702.0536176811,27.594582989635057
2024-07-01,qi_direct_baseline,market,250,market_0_00bps,4267.334070700442,0.0,0.0,0.0,4267.334070700442,0.0
2024-07-01,qi_direct_baseline,market,250,market_0_10bps,4267.334070700442,0.0,1429.5204547888682,1429.5204547888682,2837.813615911574,0.33499145628273397
2024-07-01,qi_direct_baseline,market,250,market_0_25bps,4267.334070700442,0.0,3573.8011369721703,3573.8011369721703,693.5329337282715,0.8374786407068349
2024-07-01,qi_direct_baseline,market,250,market_0_50bps,4267.334070700442,0.0,7147.602273944341,7147.602273944341,-2880.268203243899,1.6749572814136697
2024-07-01,qi_direct_baseline,market,250,market_1_00bps,4267.334070700442,0.0,14295.204547888681,14295.204547888681,-10027.87047718824,3.3499145628273395
2024-07-01,qi_direct_baseline,market,250,market_2_00bps,4267.334070700442,0.0,28590.409095777362,28590.409095777362,-24323.07502507692,6.699829125654679
2024-07-01,qi_direct_baseline,market,250,market_5_00bps,4267.334070700442,0.0,71476.0227394434,71476.0227394434,-67208.68866874297,16.749572814136698
2024-07-01,qi_direct_baseline,market,250,market_10_00bps,4267.334070700442,0.0,142952.0454788868,142952.0454788868,-138684.71140818635,33.499145628273396
2024-07-01,qi_direct_baseline,market,50,market_0_00bps,5374.277072860903,0.0,0.0,0.0,5374.277072860903,0.0
2024-07-01,qi_direct_baseline,market,50,market_0_10bps,5374.277072860903,0.0,1428.7621001564182,1428.7621001564182,3945.5149727044845,0.265851961256594
2024-07-01,qi_direct_baseline,market,50,market_0_25bps,5374.277072860903,0.0,3571.9052503910452,3571.9052503910452,1802.3718224698578,0.664629903141485
2024-07-01,qi_direct_baseline,market,50,market_0_50bps,5374.277072860903,0.0,7143.8105007820905,7143.8105007820905,-1769.5334279211875,1.32925980628297
2024-07-01,qi_direct_baseline,market,50,market_1_00bps,5374.277072860903,0.0,14287.621001564181,14287.621001564181,-8913.343928703278,2.65851961256594
2024-07-01,qi_direct_baseline,market,50,market_2_00bps,5374.277072860903,0.0,28575.242003128362,28575.242003128362,-23200.96493026746,5.31703922513188
2024-07-01,qi_direct_baseline,market,50,market_5_00bps,5374.277072860903,0.0,71438.10500782091,71438.10500782091,-66063.82793496,13.2925980628297
